idx,scheduled_t_rel_s,t_rel_s,latency_s,status,ttft_s,avg_tbt_s,worst_tbt_s,tokens_received,gen_chars,saw_done,finish_reason
123,12.842,12.842873757999769,1.580585538999003,ok,0.05308237099961843,0.0193351771518976,0.027220226998906583,80,325,True,length
124,12.858,12.858576069000264,1.5806444310001098,ok,0.05249162200016144,0.019343337582264395,0.027203761999771814,80,347,True,length
125,12.892,12.892424653999115,1.5843001020002703,ok,0.05924149699967529,0.019304213151913188,0.02719853599955968,80,345,True,length
126,13.084,13.084292502999233,1.6142241500001546,ok,0.07005565100007516,0.01954612197467996,0.027202069000850315,80,383,True,length
127,13.101,13.101992324000094,1.613018813999588,ok,0.07495048099917767,0.019468909594931423,0.02733826800067618,80,480,True,length
128,13.118,13.119927956999163,1.5951297939991491,ok,0.0570290899995598,0.01946943826582747,0.027331332999892766,80,365,True,length
129,13.135,13.135842982999748,1.597895630999119,ok,0.05735165300029621,0.019500262949367412,0.027197987999898032,80,591,True,length
130,13.286,13.28697941199971,1.6181679780002014,ok,0.05914492000010796,0.019734115860760366,0.027539165999769466,80,417,True,length
131,13.303,13.303365191999546,1.6241666679998161,ok,0.057405366000239155,0.02034722468830863,0.050383345000227564,78,326,True,length
132,13.388,13.390004474000307,1.6359203219999472,ok,0.06698375999985728,0.01985976841772558,0.02720413700080826,80,505,True,length
133,13.404,13.404654227999345,1.6211258950006595,ok,0.051287476999277715,0.01987098955695832,0.027203122999708285,80,325,True,length
134,13.438,13.438788385999942,1.6296403939995798,ok,0.06493172500086075,0.019806100265818312,0.02722055000049295,80,427,True,length
135,13.455,13.457362737999574,1.6294797780010413,ok,0.06299335100084136,0.01982875930378766,0.02722177699979511,80,325,True,length
136,13.472,13.472670113998902,1.61409358399942,ok,0.04767315800017968,0.019827802417711596,0.027221258000281523,80,352,True,length
137,13.505,13.506037373999789,1.6237883349986078,ok,0.0553825480001251,0.019852863101260495,0.027262816000074963,80,454,True,length
138,13.555,13.555375395999363,1.6276629860003595,ok,0.07078783300130453,0.01970694956960156,0.02721869000015431,80,366,True,length
139,13.572,13.573669120998602,1.6289722350011289,ok,0.07427092299985816,0.02019060841558275,0.04969787399932102,78,310,True,length
140,13.589,13.58929161999913,1.612582060000932,ok,0.058581113000400364,0.0196706001265796,0.027201785998840933,80,480,True,length
141,13.606,13.606334492000315,1.6211721210001997,ok,0.05758386799971049,0.019791967569624,0.02720365999994101,80,346,True,length
142,13.656,13.656641339999624,1.6353883019983186,ok,0.06570809799995914,0.019869047493649546,0.027202164001209894,80,380,True,length
143,13.707,13.707634983999014,1.6227133920001506,ok,0.06221258299956389,0.019752848860777324,0.02722151899979508,80,346,True,length
