timestamp_s,prompt_length,max_new_tokens,second,index_in_second
55.379000,102,80,99,3
55.479000,90,80,99,4
55.504000,76,80,99,5
55.579000,82,80,99,6
55.630000,98,80,99,7
55.680000,45,80,99,8
55.706000,131,80,99,9
56.025000,58,80,100,0
56.050000,105,80,100,1
56.076000,29,80,100,2
56.151000,78,80,100,3
56.177000,103,80,100,4
56.202000,9,80,100,5
56.252000,115,80,100,6
56.353000,124,80,100,7
56.379000,62,80,100,8
56.429000,52,80,100,9
56.454000,117,80,100,10
56.529000,63,80,100,11
56.605000,90,80,100,12
56.630000,93,80,100,13
56.706000,68,80,100,14
56.807000,60,80,100,15
57.000000,79,80,101,0
57.076000,90,80,101,1
57.202000,77,80,101,2
57.227000,72,80,101,3
57.303000,80,80,101,4
57.328000,66,80,101,5
57.454000,29,80,101,6
57.529000,83,80,101,7
57.680000,60,80,101,8
57.832000,91,80,101,9
57.857000,88,80,101,10
58.151000,73,80,102,0
58.177000,42,80,102,1
58.202000,43,80,102,2
58.303000,71,80,102,3
58.328000,94,80,102,4
58.379000,79,80,102,5
58.429000,63,80,102,6
58.579000,148,80,102,7
58.807000,98,80,102,8
59.076000,61,80,103,0
59.101000,79,80,103,1
59.126000,35,80,103,2
59.177000,100,80,103,3
59.227000,60,80,103,4
59.303000,107,80,103,5
59.353000,57,80,103,6
59.479000,29,80,103,7
59.504000,83,80,103,8
59.605000,68,80,103,9
59.807000,103,80,103,10
60.000000,120,80,104,0
60.025000,107,80,104,1
60.050000,79,80,104,2
60.126000,80,80,104,3
60.429000,72,80,104,4
60.655000,76,80,104,5
60.756000,107,80,104,6
60.807000,59,80,104,7
61.101000,103,80,105,0
61.227000,127,80,105,1
61.278000,73,80,105,2
61.303000,114,80,105,3
61.328000,71,80,105,4
61.404000,117,80,105,5
61.554000,36,80,105,6
61.605000,72,80,105,7
61.655000,108,80,105,8
61.756000,89,80,105,9
61.807000,99,80,105,10
62.076000,79,80,106,0
62.151000,27,80,106,1
62.177000,43,80,106,2
62.202000,102,80,106,3
62.252000,61,80,106,4
62.353000,1,80,106,5
62.379000,48,80,106,6
62.504000,109,80,106,7
62.579000,84,80,106,8
62.680000,108,80,106,9
62.756000,47,80,106,10
63.050000,68,80,107,0
63.101000,91,80,107,1
63.126000,75,80,107,2
63.202000,70,80,107,3
63.227000,112,80,107,4
63.278000,88,80,107,5
63.328000,74,80,107,6
63.379000,85,80,107,7
63.504000,102,80,107,8
63.529000,65,80,107,9
63.756000,52,80,107,10
63.781000,145,80,107,11
64.000000,33,80,108,0
64.076000,84,80,108,1
64.101000,106,80,108,2
64.151000,82,80,108,3
64.227000,78,80,108,4
64.278000,86,80,108,5
64.303000,45,80,108,6
64.353000,82,80,108,7
64.454000,61,80,108,8
64.479000,70,80,108,9
64.504000,84,80,108,10
64.630000,1,80,108,11
64.655000,20,80,108,12
64.706000,60,80,108,13
64.832000,32,80,108,14
65.025000,103,80,109,0
65.050000,108,80,109,1
65.126000,126,80,109,2
65.151000,45,80,109,3
65.177000,49,80,109,4
65.227000,67,80,109,5
65.278000,74,80,109,6
65.328000,111,80,109,7
65.404000,49,80,109,8
65.504000,91,80,109,9
65.579000,82,80,109,10
65.630000,69,80,109,11
65.655000,110,80,109,12
65.781000,75,80,109,13
65.857000,97,80,109,14
66.000000,87,80,110,0
66.050000,119,80,110,1
66.101000,22,80,110,2
66.177000,98,80,110,3
66.227000,152,80,110,4
66.252000,41,80,110,5
66.278000,66,80,110,6
66.303000,92,80,110,7
66.328000,91,80,110,8
66.353000,82,80,110,9
66.404000,83,80,110,10
66.454000,44,80,110,11
66.504000,82,80,110,12
66.579000,102,80,110,13
66.680000,108,80,110,14
66.756000,75,80,110,15
67.025000,102,80,111,0
67.076000,61,80,111,1
67.126000,83,80,111,2
67.151000,105,80,111,3
67.252000,56,80,111,4
67.278000,90,80,111,5
67.353000,47,80,111,6
67.429000,80,80,111,7
67.529000,6,80,111,8
67.554000,67,80,111,9
67.756000,67,80,111,10
67.807000,70,80,111,11
68.076000,38,80,112,0
68.126000,11,80,112,1
68.177000,41,80,112,2
68.278000,38,80,112,3
68.303000,150,80,112,4
68.479000,100,80,112,5
68.554000,79,80,112,6
68.630000,62,80,112,7
68.655000,46,80,112,8
68.680000,75,80,112,9
68.781000,9,80,112,10
68.832000,16,80,112,11
69.076000,56,80,113,0
69.126000,62,80,113,1
69.379000,94,80,113,2
69.605000,143,80,113,3
69.630000,52,80,113,4
69.680000,8,80,113,5
69.731000,100,80,113,6
70.076000,91,80,114,0
70.202000,128,80,114,1
70.252000,43,80,114,2
70.278000,107,80,114,3
70.303000,43,80,114,4
70.353000,87,80,114,5
70.379000,72,80,114,6
70.404000,107,80,114,7
70.554000,61,80,114,8
70.579000,59,80,114,9
71.076000,83,80,115,0
71.101000,118,80,115,1
71.126000,39,80,115,2
71.328000,83,80,115,3
71.379000,77,80,115,4
71.429000,113,80,115,5
71.479000,98,80,115,6
71.605000,78,80,115,7
71.680000,44,80,115,8
71.807000,75,80,115,9
72.050000,51,80,116,0
72.076000,74,80,116,1
72.177000,37,80,116,2
72.202000,59,80,116,3
72.227000,54,80,116,4
72.278000,90,80,116,5
72.554000,72,80,116,6
72.579000,53,80,116,7
72.605000,80,80,116,8
72.781000,66,80,116,9
73.076000,80,80,117,0
73.101000,90,80,117,1
73.202000,60,80,117,2
73.227000,69,80,117,3
73.252000,99,80,117,4
73.278000,90,80,117,5
73.429000,87,80,117,6
73.554000,56,80,117,7
73.605000,31,80,117,8
73.630000,71,80,117,9
73.655000,83,80,117,10
73.706000,47,80,117,11
74.101000,90,80,118,0
74.126000,105,80,118,1
74.353000,134,80,118,2
74.404000,125,80,118,3
74.429000,44,80,118,4
74.479000,51,80,118,5
74.504000,90,80,118,6
74.529000,65,80,118,7
74.756000,55,80,118,8
74.807000,91,80,118,9
75.050000,56,80,119,0
75.101000,107,80,119,1
75.126000,104,80,119,2
75.151000,79,80,119,3
75.177000,68,80,119,4
75.278000,34,80,119,5
75.328000,65,80,119,6
75.379000,83,80,119,7
75.479000,63,80,119,8
75.504000,96,80,119,9
75.554000,18,80,119,10
75.579000,92,80,119,11
75.605000,92,80,119,12
75.630000,84,80,119,13
75.655000,42,80,119,14
75.731000,49,80,119,15
75.807000,144,80,119,16
75.857000,103,80,119,17
76.000000,71,80,120,0
76.227000,54,80,120,1
76.252000,33,80,120,2
76.328000,122,80,120,3
76.404000,120,80,120,4
76.429000,86,80,120,5
76.554000,109,80,120,6
